THCM,CROSS,CROSS2,P1,P2,PHIP,angle,CUTOFF,FORCE,WAVE,T11D,T20D,T21D,T22D,T11D2,T20D2,T21D2,T22D2,AX,AY,AZ,AX2,AY2,AZ2,POLNOUT(y),POLNOUT2(y),CROSSCAP,CROSSCAP2,AYN1CAP,AYN1CAP2,Energy
1.6232,2.426,2.636,352.79,352.79,0.0,93.0,450,N4LO+,SIEGERT,-0.0,0.6018,-0.2879,-0.6248,-0.05205,0.5644,-0.08999,-0.6229,-0.393,0.0,0.0,-0.2413,0.0,-1.487e-17,-0.0,-0.1497,0.4962,0.5391,-0.0,0.1497,140
1.6406,2.398,2.613,352.79,352.79,0.0,94.0,450,N4LO+,SIEGERT,-0.0,0.5872,-0.3162,-0.6189,-0.04904,0.5587,-0.119,-0.6204,-0.3897,0.0,0.0,-0.238,0.0,3.001e-17,-0.0,-0.1562,0.4903,0.5343,0.0,0.1562,140
1.6581,2.369,2.59,352.79,352.79,0.0,95.0,450,N4LO+,SIEGERT,0.0,0.5712,-0.3439,-0.6125,-0.04592,0.5515,-0.1477,-0.6173,-0.3862,0.0,-4.964e-17,-0.2345,0.0,-4.541e-17,-0.0,-0.1626,0.4845,0.5296,0.0,0.1626,140
1.6755,2.341,2.568,352.79,352.79,0.0,96.0,450,N4LO+,SIEGERT,-0.0,0.5538,-0.371,-0.6055,-0.0427,0.543,-0.176,-0.6137,-0.3826,0.0,1.675e-17,-0.2309,0.0,0.0,-0.0,-0.169,0.4787,0.5251,0.0,0.169,140
1.693,2.313,2.547,352.79,352.79,0.0,97.0,450,N4LO+,SIEGERT,-0.0,0.5352,-0.3973,-0.5981,-0.03936,0.533,-0.2041,-0.6097,-0.3788,0.0,-1.695e-17,-0.2272,7.697e-18,-1.539e-17,-0.0,-0.1754,0.473,0.5208,-0.0,0.1754,140
1.7104,2.285,2.527,352.79,352.79,0.0,98.0,450,N4LO+,SIEGERT,0.0,0.5153,-0.4229,-0.5901,-0.03593,0.5218,-0.2317,-0.6052,-0.375,0.0,8.58e-18,-0.2233,7.759e-18,1.552e-17,-0.0,-0.1817,0.4672,0.5167,0.0,0.1817,140
1.7279,2.257,2.507,352.79,352.79,0.0,99.0,450,N4LO+,SIEGERT,-0.0,0.4943,-0.4477,-0.5817,-0.0324,0.5093,-0.2588,-0.6003,-0.3709,0.0,3.475e-17,-0.2193,0.0,4.692e-17,-0.0,-0.1879,0.4615,0.5127,0.0,0.1879,140
1.7453,2.229,2.488,352.79,352.79,0.0,100.0,450,N4LO+,SIEGERT,-0.0,0.4721,-0.4717,-0.5729,-0.02877,0.4955,-0.2855,-0.5949,-0.3668,0.0,-1.759e-17,-0.2153,0.0,0.0,-0.0,-0.1941,0.4558,0.5088,0.0,0.1941,140
1.7628,2.201,2.47,352.79,352.79,0.0,101.0,450,N4LO+,SIEGERT,-0.0,0.4488,-0.4948,-0.5636,-0.02507,0.4804,-0.3116,-0.5892,-0.3625,0.0,-5.343e-17,-0.2111,7.936e-18,0.0,-0.0,-0.2001,0.4501,0.5051,0.0,0.2001,140
1.7802,2.174,2.453,352.79,352.79,0.0,102.0,450,N4LO+,SIEGERT,-0.0,0.4245,-0.517,-0.5539,-0.02129,0.4642,-0.3372,-0.583,-0.3581,0.0,-1.804e-17,-0.2068,0.0,0.0,-0.0,-0.2061,0.4445,0.5017,-0.0,0.2061,140
1.7977,2.146,2.437,352.79,352.79,0.0,103.0,450,N4LO+,SIEGERT,-0.0,0.3992,-0.5384,-0.5439,-0.01744,0.4468,-0.3623,-0.5765,-0.3536,0.0,0.0,-0.2025,0.0,3.218e-17,-0.0,-0.2119,0.4389,0.4983,0.0,0.2119,140
1.8151,2.119,2.422,352.79,352.79,0.0,104.0,450,N4LO+,SIEGERT,-0.0,0.373,-0.5587,-0.5335,-0.01353,0.4283,-0.3866,-0.5696,-0.349,0.0,-3.7e-17,-0.1981,0.0,-1.619e-17,-0.0,-0.2176,0.4334,0.4952,0.0,0.2176,140
1.8326,2.093,2.407,352.79,352.79,0.0,105.0,450,N4LO+,SIEGERT,-0.0,0.3459,-0.5782,-0.5228,-0.009562,0.4087,-0.4104,-0.5624,-0.3443,0.0,5.621e-17,-0.1936,8.144e-18,0.0,-0.0,-0.2232,0.4279,0.4922,0.0,0.2232,140
1.85,2.066,2.393,352.79,352.79,0.0,106.0,450,N4LO+,SIEGERT,0.0,0.3181,-0.5966,-0.5118,-0.005553,0.388,-0.4334,-0.5549,-0.3395,0.0,9.489e-18,-0.189,0.0,0.0,-0.0,-0.2286,0.4225,0.4894,-0.0,0.2286,140
1.8675,2.04,2.38,352.79,352.79,0.0,107.0,450,N4LO+,SIEGERT,-0.0,0.2894,-0.6141,-0.5004,-0.00151,0.3664,-0.4558,-0.547,-0.3345,0.0,-1.922e-17,-0.1844,8.235e-18,-1.647e-17,-0.0,-0.2339,0.4171,0.4868,-0.0,0.2339,140
1.885,2.014,2.368,352.79,352.79,0.0,108.0,450,N4LO+,SIEGERT,0.0,0.2601,-0.6305,-0.4889,0.00256,0.3438,-0.4774,-0.5389,-0.3295,0.0,-5.841e-17,-0.1797,0.0,0.0,-0.0,-0.239,0.4118,0.4843,-0.0,0.239,140
1.9024,1.988,2.357,352.79,352.79,0.0,109.0,450,N4LO+,SIEGERT,0.0,0.2301,-0.6459,-0.4771,0.006646,0.3202,-0.4983,-0.5305,-0.3243,0.0,0.0,-0.175,-8.316e-18,1.663e-17,-0.0,-0.2439,0.4065,0.482,0.0,0.2439,140
1.9199,1.963,2.347,352.79,352.79,0.0,110.0,450,N4LO+,SIEGERT,0.0,0.1995,-0.6603,-0.4651,0.01074,0.2958,-0.5184,-0.5219,-0.3191,0.0,-2.997e-17,-0.1703,-8.353e-18,0.0,-0.0,-0.2486,0.4013,0.4799,-0.0,0.2486,140
1.9373,1.937,2.338,352.79,352.79,0.0,111.0,450,N4LO+,SIEGERT,-0.0,0.1684,-0.6736,-0.4529,0.01483,0.2705,-0.5377,-0.513,-0.3138,0.0,0.0,-0.1656,0.0,3.355e-17,-0.0,-0.2531,0.3962,0.478,0.0,0.2531,140
1.9548,1.913,2.329,352.79,352.79,0.0,112.0,450,N4LO+,SIEGERT,-0.0,0.1369,-0.6859,-0.4405,0.0189,0.2445,-0.5562,-0.5039,-0.3084,0.0,3.075e-17,-0.1608,-4.209e-18,6.734e-17,-0.0,-0.2574,0.3911,0.4762,-0.0,0.2574,140
1.9722,1.888,2.321,352.79,352.79,0.0,113.0,450,N4LO+,SIEGERT,0.0,0.1049,-0.6971,-0.428,0.02295,0.2177,-0.5739,-0.4947,-0.3029,0.0,-5.191e-18,-0.1561,1.267e-17,1.689e-17,-0.0,-0.2614,0.3861,0.4747,-0.0,0.2614,140
1.9897,1.864,2.314,352.79,352.79,0.0,114.0,450,N4LO+,SIEGERT,-0.0,0.07257,-0.7073,-0.4154,0.02696,0.1902,-0.5908,-0.4852,-0.2973,0.0,2.103e-17,-0.1513,0.0,1.694e-17,-0.0,-0.2653,0.3812,0.4732,-0.0,0.2653,140
