 #   q  dGamma/dq   dGamma/dE1 
  0.13519179972170148        9.0176708966219807E-009   3.7831142612984326E-008
  0.13764978211667434        8.9747682383854750E-009   3.7313477851043577E-008
  0.14012990849718754        8.9738695215195929E-009   3.6978099202349677E-008
  0.14263217886324100        9.0159981617220887E-009   3.6824368505627475E-008
  0.14515659321483476        9.1022327998474472E-009   3.6851893481617501E-008
  0.14770315155196892        9.2336857765768384E-009   3.7060430694513078E-008
  0.15027185387464329        9.4114793936461276E-009   3.7449784703451411E-008
  0.15286270018285794        9.6367534698120929E-009   3.8019835830691666E-008
  0.15547569047661289        9.9105596960431423E-009   3.8770123682214052E-008
  0.15811082475590812        1.0233808892671705E-008   3.9699656800147564E-008
  0.16076810302074368        1.0607592067385989E-008   4.0808169831806790E-008
  0.16344752527111958        1.1033887292887921E-008   4.2098790676056784E-008
  0.16614909150703572        1.1515114958203933E-008   4.3576218937416183E-008
  0.16887280172849214        1.2054003341936316E-008   4.5246157707209176E-008
  0.17161865593548889        1.2653495670517940E-008   4.7114927196975092E-008
  0.17438665412802593        1.3316706067248455E-008   4.9189277436461159E-008
