DEG	LO2	NLO2	N2LO2	N3LO2	N4LO1	N4LO2	N4LO3	N4LO4	N4LO+2	AV18
152	-0.5826	-0.5363	-0.5071	-0.5001	-0.5091	-0.5056	-0.5012	-0.4975	-0.5042	-0.5048
153	-0.5659	-0.5195	-0.4903	-0.4833	-0.4923	-0.4887	-0.4843	-0.4806	-0.4873	-0.4879
154	-0.5484	-0.5019	-0.4727	-0.4658	-0.4747	-0.4712	-0.4668	-0.4631	-0.4698	-0.4704
155	-0.53	-0.4835	-0.4545	-0.4475	-0.4564	-0.4529	-0.4485	-0.4449	-0.4515	-0.4521
156	-0.5106000000000001	-0.4643	-0.4355	-0.4286	-0.4374	-0.4339	-0.4296	-0.426	-0.4326	-0.4331
157	-0.4903	-0.4443	-0.4158	-0.409	-0.4177	-0.4142	-0.4099	-0.4064	-0.4129	-0.4134
158	-0.4691	-0.4235	-0.3955	-0.3888	-0.3973	-0.3939	-0.3897	-0.3862	-0.3926	-0.3931
159	-0.4469	-0.402	-0.3745	-0.3679	-0.3762	-0.3729	-0.3687	-0.3653	-0.3716	-0.3721
160	-0.4237	-0.3797	-0.3528	-0.3464	-0.3545	-0.3513	-0.3472	-0.3439	-0.35	-0.3505
161	-0.3996	-0.3567	-0.3306	-0.3244	-0.3323	-0.3291	-0.3252	-0.3219	-0.3279	-0.3283
162	-0.3747	-0.3331	-0.3079	-0.3019	-0.3095	-0.3064	-0.3027	-0.2996	-0.3053	-0.3057
163	-0.349	-0.3089	-0.2848	-0.2791	-0.2863	-0.2834	-0.2798	-0.2768	-0.2823	-0.2826
164	-0.3226	-0.2843	-0.2614	-0.256	-0.2628	-0.26	-0.2566	-0.2538	-0.259	-0.2593
165	-0.2955	-0.2593	-0.2378	-0.2327	-0.2391	-0.2365	-0.2333	-0.2307	-0.2356	-0.2358
166	-0.2681	-0.2342	-0.2142	-0.2095	-0.2154	-0.213	-0.21	-0.2076	-0.2121	-0.2124
167	-0.2404	-0.2091	-0.1907	-0.1864	-0.1918	-0.1896	-0.1869	-0.1846	-0.1888	-0.189
168	-0.2128	-0.1842	-0.1676	-0.1637	-0.1686	-0.1665	-0.1641	-0.1621	-0.1658	-0.166
169	-0.1854	-0.1598	-0.1449	-0.1415	-0.1458	-0.144	-0.1419	-0.1401	-0.1434	-0.1436
170	-0.1585	-0.136	-0.1231	-0.1201	-0.1239	-0.1223	-0.1204	-0.1189	-0.1218	-0.1219
171	-0.1326	-0.1133	-0.1023	-0.09970999999999999	-0.1029	-0.1016	-0.09998	-0.09866	-0.1011	-0.1012
172	-0.1079	-0.09182999999999999	-0.08271000000000001	-0.08058999999999999	-0.08326	-0.08214	-0.08081000000000001	-0.07972	-0.08176	-0.08185000000000001
173	-0.08482000000000001	-0.07195	-0.06467000000000001	-0.06297999999999999	-0.06510000000000001	-0.06421	-0.06315	-0.06229	-0.06390999999999999	-0.06398
174	-0.06381000000000001	-0.05395	-0.0484	-0.04711	-0.04873	-0.04805	-0.04725	-0.04659	-0.04782	-0.04788
175	-0.04523	-0.03813	-0.03415	-0.03323	-0.03439	-0.0339	-0.03332	-0.03285	-0.03374	-0.03377
176	-0.02945	-0.02477	-0.02215	-0.02154	-0.0223	-0.02198	-0.0216	-0.0213	-0.02188	-0.0219
177	-0.01679	-0.01409	-0.01259	-0.01224	-0.01268	-0.01249	-0.01228	-0.0121	-0.01243	-0.01245
178	-0.007536	-0.006316	-0.005637	-0.005481	-0.005677	-0.005595	-0.005497	-0.005416	-0.005566	-0.005573
179	-0.001895	-0.001587	-0.001416	-0.001376	-0.001426	-0.001405	-0.00138	-0.00136	-0.001398	-0.001399
180	0	0	0	0	0	0	0	0	0	0
